Freq.	V(vo)
1.25892541179417e+04	(5.75351006524614e+01dB,-1.78470096993403e+02°)
1.58489319246112e+04	(5.75327188042079e+01dB,-1.78074346994760e+02°)
1.99526231496889e+04	(5.75289446203831e+01dB,-1.77576294903873e+02°)
2.51188643150959e+04	(5.75229669733900e+01dB,-1.76949661255292e+02°)
3.16227766016839e+04	(5.75135044412056e+01dB,-1.76161560249609e+02°)
3.98107170553499e+04	(5.74985366967034e+01dB,-1.75170984929700e+02°)
5.01187233627275e+04	(5.74748882950958e+01dB,-1.73927088052326e+02°)
6.30957344480196e+04	(5.74375924731812e+01dB,-1.72367378983281e+02°)
7.94328234724285e+04	(5.73789399335482e+01dB,-1.70416132177056e+02°)
1.00000000000000e+05	(5.72871077544996e+01dB,-1.67983611424481e+02°)
1.25892541179417e+05	(5.71443033293119e+01dB,-1.64967180009086e+02°)
1.58489319246112e+05	(5.69245262620644e+01dB,-1.61255869258306e+02°)
1.99526231496889e+05	(5.65914754977664e+01dB,-1.56739967872438e+02°)
2.51188643150959e+05	(5.60979172625382e+01dB,-1.51325338627103e+02°)
3.16227766016840e+05	(5.53887995539455e+01dB,-1.44946777232462e+02°)
3.98107170553499e+05	(5.44106377784958e+01dB,-1.37567024464345e+02°)
5.01187233627275e+05	(5.31276556112987e+01dB,-1.29147996003634e+02°)
6.30957344480197e+05	(5.15404217907724e+01dB,-1.19603295784362e+02°)
7.94328234724286e+05	(4.96981280416977e+01dB,-1.08777753529188e+02°)
1.00000000000001e+06	(4.76956709068912e+01dB,-9.65023293964923e+01°)
1.25892541179417e+06	(4.56527324817063e+01dB,-8.27131101829065e+01°)
1.58489319246112e+06	(4.36810458034122e+01dB,-6.75580776976957e+01°)
1.99526231496889e+06	(4.18527416557446e+01dB,-5.14201403803187e+01°)
2.51188643150959e+06	(4.01829588712358e+01dB,-3.48505750377127e+01°)
3.16227766016840e+06	(3.86335848487533e+01dB,-1.84635168514630e+01°)
3.98107170553500e+06	(3.71353846823229e+01dB,-2.84494628013800e+00°)
5.01187233627275e+06	(3.56172848179865e+01dB,1.15072137993058e+01°)
6.30957344480197e+06	(3.40288918025921e+01dB,2.42236559306736e+01°)
7.94328234724286e+06	(3.23479800809197e+01dB,3.50892475647336e+01°)
1.00000000000000e+07	(3.05747186693119e+01dB,4.40417343478416e+01°)
